Tiempo ( s ),T ( K ),P ( kPa ),V ( m3 )
0,296.877,68.361,3.92E-04
0.02,296.813,68.239,3.92E-04
0.04,296.834,68.3,3.92E-04
0.06,296.877,68.3,3.92E-04
0.08,296.834,68.361,3.92E-04
0.1,296.856,68.239,3.92E-04
0.12,296.834,68.239,3.92E-04
0.14,296.877,68.3,3.92E-04
0.16,296.856,68.3,3.92E-04
0.18,296.813,68.361,3.92E-04
0.2,296.813,68.239,3.92E-04
0.22,296.877,68.3,3.92E-04
0.24,296.856,68.361,3.92E-04
0.26,296.856,68.3,3.92E-04
0.28,296.899,68.3,3.92E-04
0.3,296.856,68.3,3.92E-04
0.32,296.856,68.3,3.92E-04
0.34,296.877,68.361,3.92E-04
0.36,296.921,68.361,3.91E-04
0.38,296.942,68.361,3.91E-04
0.4,296.942,68.422,3.91E-04
0.42,297.072,68.606,3.90E-04
0.44,297.115,68.789,3.90E-04
0.46,297.287,68.85,3.89E-04
0.48,297.46,69.094,3.88E-04
0.5,297.632,69.277,3.87E-04
0.52,297.805,69.582,3.85E-04
0.54,298.085,69.826,3.84E-04
0.56,298.344,70.315,3.82E-04
0.58,298.71,70.681,3.79E-04
0.6,299.098,71.108,3.77E-04
0.62,299.486,71.474,3.76E-04
0.64,299.853,71.78,3.74E-04
0.66,300.133,72.207,3.72E-04
0.68,300.392,72.268,3.71E-04
0.7,300.565,72.512,3.70E-04
0.72,300.737,72.695,3.69E-04
0.74,300.91,72.939,3.68E-04
0.76,301.233,73.183,3.66E-04
0.78,301.492,73.733,3.64E-04
0.8,301.944,74.343,3.61E-04
0.82,302.397,75.014,3.58E-04
0.84,302.958,75.564,3.55E-04
0.86,303.454,76.113,3.52E-04
0.88,303.842,76.479,3.51E-04
0.9,304.187,76.846,3.49E-04
0.92,304.446,77.151,3.48E-04
0.94,304.748,77.456,3.46E-04
0.96,304.985,77.883,3.45E-04
0.98,305.243,78.249,3.43E-04
1,305.588,78.738,3.40E-04
1.02,306.02,79.287,3.38E-04
1.04,306.494,80.081,3.35E-04
1.06,307.011,80.63,3.32E-04
1.08,307.464,81.179,3.30E-04
1.1,307.939,81.545,3.28E-04
1.12,308.284,82.034,3.26E-04
1.14,308.499,82.4,3.24E-04
1.16,308.823,82.705,3.23E-04
1.18,309.017,83.071,3.21E-04
1.2,309.319,83.438,3.19E-04
1.22,309.599,83.987,3.17E-04
1.24,309.901,84.475,3.15E-04
1.26,310.375,85.147,3.13E-04
1.28,310.742,85.818,3.11E-04
1.3,311.13,86.367,3.08E-04
1.32,311.583,86.856,3.06E-04
1.34,311.949,87.405,3.04E-04
1.36,312.337,87.954,3.02E-04
1.38,312.704,88.443,3.00E-04
1.4,313.113,88.992,2.98E-04
1.42,313.394,89.419,2.96E-04
1.44,313.717,89.969,2.94E-04
1.46,314.019,90.396,2.92E-04
1.48,314.364,90.884,2.90E-04
1.5,314.709,91.433,2.89E-04
1.52,315.011,91.861,2.87E-04
1.54,315.377,92.654,2.84E-04
1.56,315.809,93.387,2.82E-04
1.58,316.261,94.119,2.79E-04
1.6,316.671,94.668,2.78E-04
1.62,316.951,94.974,2.76E-04
1.64,317.124,95.157,2.75E-04
1.66,317.253,95.401,2.74E-04
1.68,317.296,95.645,2.73E-04
1.7,317.383,96.072,2.72E-04
1.72,317.49,96.377,2.71E-04
1.74,317.663,96.927,2.69E-04
1.76,317.986,97.659,2.66E-04
1.78,318.245,98.392,2.64E-04
1.8,318.633,99.185,2.62E-04
1.82,318.957,99.918,2.59E-04
1.84,319.323,100.65,2.57E-04
1.86,319.582,101.382,2.55E-04
1.88,319.776,101.932,2.54E-04
1.9,319.884,102.42,2.52E-04
1.92,319.992,102.786,2.50E-04
1.94,320.056,103.336,2.49E-04
1.96,320.056,103.885,2.47E-04
1.98,320.121,104.434,2.45E-04
2,320.143,104.923,2.44E-04
2.02,320.229,105.655,2.42E-04
2.04,320.207,106.143,2.40E-04
2.06,320.229,106.693,2.38E-04
2.08,320.207,107.303,2.37E-04
2.1,320.121,107.669,2.36E-04
2.12,319.992,108.036,2.34E-04
2.14,319.798,108.402,2.33E-04
2.16,319.539,108.646,2.32E-04
2.18,319.345,108.951,2.31E-04
2.2,319.194,109.561,2.29E-04
2.22,319.064,110.233,2.28E-04
2.24,319.194,111.209,2.25E-04
2.26,319.28,111.82,2.23E-04
2.28,319.366,112.674,2.21E-04
2.3,319.474,113.346,2.20E-04
2.32,319.517,113.895,2.18E-04
2.34,319.474,114.261,2.17E-04
2.36,319.366,114.75,2.16E-04
2.38,319.194,115.177,2.14E-04
2.4,319.064,115.482,2.13E-04
2.42,318.935,116.031,2.12E-04
2.44,318.849,116.642,2.10E-04
2.46,318.849,117.313,2.09E-04
2.48,318.914,118.168,2.07E-04
2.5,319.151,119.083,2.04E-04
2.52,319.388,120.304,2.02E-04
2.54,319.711,121.464,1.99E-04
2.56,320.121,122.562,1.97E-04
2.58,320.509,123.661,1.94E-04
2.6,320.811,124.638,1.92E-04
2.62,321.113,125.553,1.90E-04
2.64,321.35,126.286,1.89E-04
2.66,321.436,127.018,1.87E-04
2.68,321.544,127.812,1.85E-04
2.7,321.695,128.91,1.83E-04
2.72,321.954,130.131,1.81E-04
2.74,322.407,131.535,1.78E-04
2.76,322.924,133.061,1.75E-04
2.78,323.485,134.709,1.72E-04
2.8,324.045,136.113,1.70E-04
2.82,324.584,137.577,1.67E-04
2.84,325.059,138.676,1.65E-04
2.86,325.382,139.592,1.64E-04
2.88,325.49,140.141,1.62E-04
2.9,325.533,140.751,1.61E-04
2.92,325.425,141.301,1.60E-04
2.94,325.339,141.728,1.59E-04
2.96,325.166,142.277,1.58E-04
2.98,325.059,142.827,1.57E-04
3,324.994,143.498,1.55E-04
3.02,324.908,144.23,1.54E-04
3.04,324.886,145.024,1.53E-04
3.06,325.059,146.123,1.51E-04
3.08,325.231,147.404,1.49E-04
3.1,325.447,148.503,1.47E-04
3.12,325.684,149.541,1.45E-04
3.14,325.856,150.456,1.44E-04
3.16,325.921,151.311,1.42E-04
3.18,325.986,152.165,1.41E-04
3.2,326.05,153.02,1.40E-04
3.22,326.072,153.874,1.38E-04
3.24,326.094,154.668,1.37E-04
3.26,326.137,155.766,1.35E-04
3.28,326.266,157.109,1.33E-04
3.3,326.46,158.574,1.32E-04
3.32,326.676,159.856,1.30E-04
3.34,326.913,161.077,1.28E-04
3.36,327.042,162.175,1.26E-04
3.38,327.129,163.091,1.25E-04
3.4,327.215,164.19,1.24E-04
3.42,327.258,165.044,1.22E-04
3.44,327.236,166.021,1.21E-04
3.46,327.279,166.997,1.20E-04
